attack_id,image_id,filename,target_class,clean_detected,attacked_detected,clean_confidence,attacked_confidence,confidence_drop,confidence_drop_percent,clean_iou,attacked_iou,iou_drop,clean_total_detections,attacked_total_detections,detection_count_change,eligible_for_asr,attack_success,patch_filename,patch_size_pixels,patch_scale
attack_04,1532,000000001532.jpg,car,Yes,Yes,0.829359,0.815400,0.013959,1.683107,0.940733,0.940035,0.000699,9,7,-2,Yes,No,diffusion_patch_04.png,35,0.3
attack_04,7281,000000007281.jpg,person,Yes,Yes,0.794244,0.744396,0.049848,6.276157,0.582842,0.562159,0.020683,10,10,0,Yes,No,diffusion_patch_04.png,39,0.3
attack_04,8211,000000008211.jpg,person,Yes,Yes,0.909213,0.910003,-0.000790,-0.086888,0.940049,0.940646,-0.000597,6,6,0,Yes,No,diffusion_patch_04.png,25,0.3
attack_04,8690,000000008690.jpg,person,Yes,Yes,0.794822,0.753181,0.041641,5.239035,0.944365,0.934455,0.009910,4,5,1,Yes,No,diffusion_patch_04.png,64,0.3
attack_04,10363,000000010363.jpg,car,Yes,Yes,0.730598,0.826922,-0.096324,-13.184268,0.864692,0.708190,0.156501,4,3,-1,Yes,No,diffusion_patch_04.png,100,0.3
attack_04,11197,000000011197.jpg,car,Yes,Yes,0.884039,0.880513,0.003526,0.398851,0.928228,0.911062,0.017166,15,13,-2,Yes,No,diffusion_patch_04.png,12,0.3
attack_04,15338,000000015338.jpg,car,Yes,Yes,0.283718,0.296168,-0.012450,-4.388160,0.859650,0.858944,0.000705,5,5,0,Yes,No,diffusion_patch_04.png,8,0.3
attack_04,16228,000000016228.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,22,21,-1,No,No,diffusion_patch_04.png,38,0.3
attack_04,17029,000000017029.jpg,car,Yes,Yes,0.462310,0.665097,-0.202787,-43.863858,0.867907,0.873462,-0.005555,6,5,-1,Yes,No,diffusion_patch_04.png,46,0.3
attack_04,17178,000000017178.jpg,car,Yes,Yes,0.797330,0.865983,-0.068653,-8.610362,0.969868,0.967780,0.002088,5,6,1,Yes,No,diffusion_patch_04.png,62,0.3
attack_04,17207,000000017207.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,6,7,1,No,No,diffusion_patch_04.png,47,0.3
attack_04,17627,000000017627.jpg,car,Yes,Yes,0.751161,0.792894,-0.041733,-5.555800,0.742846,0.641474,0.101371,14,13,-1,Yes,No,diffusion_patch_04.png,28,0.3
attack_04,22705,000000022705.jpg,person,Yes,Yes,0.884847,0.870253,0.014594,1.649325,0.982847,0.976216,0.006631,6,6,0,Yes,No,diffusion_patch_04.png,66,0.3
attack_04,22755,000000022755.jpg,car,Yes,Yes,0.456685,0.418907,0.037778,8.272223,0.778417,0.813271,-0.034853,2,2,0,Yes,No,diffusion_patch_04.png,8,0.3
attack_04,23272,000000023272.jpg,car,Yes,Yes,0.374130,0.415322,-0.041192,-11.010077,0.823016,0.623181,0.199835,2,2,0,Yes,No,diffusion_patch_04.png,111,0.3
attack_04,25424,000000025424.jpg,person,Yes,Yes,0.885432,0.901339,-0.015907,-1.796524,0.953146,0.962429,-0.009283,3,3,0,Yes,No,diffusion_patch_04.png,56,0.3
attack_04,25603,000000025603.jpg,person,Yes,Yes,0.758150,0.834174,-0.076024,-10.027567,0.949313,0.800848,0.148465,18,18,0,Yes,No,diffusion_patch_04.png,91,0.3
attack_04,26204,000000026204.jpg,car,Yes,Yes,0.890688,0.911899,-0.021211,-2.381418,0.944699,0.942216,0.002483,14,14,0,Yes,No,diffusion_patch_04.png,27,0.3
attack_04,32334,000000032334.jpg,person,Yes,Yes,0.435862,0.869800,-0.433938,-99.558576,0.944383,0.633734,0.310649,13,13,0,Yes,No,diffusion_patch_04.png,123,0.3
attack_04,33005,000000033005.jpg,person,Yes,Yes,0.818226,0.829913,-0.011687,-1.428334,0.937959,0.943734,-0.005775,2,2,0,Yes,No,diffusion_patch_04.png,17,0.3
attack_04,33221,000000033221.jpg,person,Yes,Yes,0.862511,0.887389,-0.024878,-2.884369,0.955439,0.968677,-0.013238,11,11,0,Yes,No,diffusion_patch_04.png,40,0.3
attack_04,40083,000000040083.jpg,car,Yes,Yes,0.958043,0.912033,0.046010,4.802498,0.964779,0.956060,0.008719,10,10,0,Yes,No,diffusion_patch_04.png,22,0.3
attack_04,43737,000000043737.jpg,car,Yes,No,0.352254,0.000000,0.352254,100.000000,0.805343,0.000000,0.805343,5,4,-1,Yes,Yes,diffusion_patch_04.png,11,0.3
attack_04,44590,000000044590.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,26,24,-2,No,No,diffusion_patch_04.png,17,0.3
attack_04,46048,000000046048.jpg,person,Yes,Yes,0.842076,0.805981,0.036095,4.286430,0.967564,0.615313,0.352251,5,5,0,Yes,No,diffusion_patch_04.png,29,0.3
attack_04,50811,000000050811.jpg,person,Yes,Yes,0.902235,0.919647,-0.017412,-1.929874,0.974602,0.976850,-0.002248,9,9,0,Yes,No,diffusion_patch_04.png,118,0.3
attack_04,51610,000000051610.jpg,person,Yes,Yes,0.919891,0.878348,0.041543,4.516079,0.968937,0.960966,0.007970,4,4,0,Yes,No,diffusion_patch_04.png,73,0.3
attack_04,52412,000000052412.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,2,3,1,No,No,diffusion_patch_04.png,70,0.3
attack_04,53529,000000053529.jpg,person,Yes,No,0.282876,0.000000,0.282876,100.000000,0.796353,0.000000,0.796353,3,3,0,Yes,Yes,diffusion_patch_04.png,27,0.3
attack_04,54967,000000054967.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,21,21,0,No,No,diffusion_patch_04.png,16,0.3
attack_04,55150,000000055150.jpg,car,Yes,Yes,0.682534,0.266322,0.416212,60.980405,0.632187,0.569554,0.062633,16,15,-1,Yes,No,diffusion_patch_04.png,61,0.3
attack_04,57150,000000057150.jpg,person,Yes,Yes,0.813685,0.810438,0.003247,0.399049,0.896177,0.891623,0.004554,15,13,-2,Yes,No,diffusion_patch_04.png,27,0.3
attack_04,58539,000000058539.jpg,car,Yes,Yes,0.855636,0.555097,0.300539,35.124632,0.969461,0.961981,0.007481,10,12,2,Yes,No,diffusion_patch_04.png,67,0.3
attack_04,63154,000000063154.jpg,person,Yes,No,0.422443,0.000000,0.422443,100.000000,0.549138,0.000000,0.549138,4,2,-2,Yes,Yes,diffusion_patch_04.png,24,0.3
attack_04,64868,000000064868.jpg,person,Yes,Yes,0.868071,0.874844,-0.006773,-0.780236,0.808859,0.841092,-0.032232,4,5,1,Yes,No,diffusion_patch_04.png,86,0.3
attack_04,67213,000000067213.jpg,car,Yes,Yes,0.477677,0.490207,-0.012530,-2.623111,0.954475,0.958608,-0.004133,14,14,0,Yes,No,diffusion_patch_04.png,32,0.3
attack_04,67310,000000067310.jpg,person,Yes,Yes,0.930217,0.927663,0.002554,0.274560,0.893896,0.894898,-0.001002,6,5,-1,Yes,No,diffusion_patch_04.png,68,0.3
attack_04,69356,000000069356.jpg,person,Yes,Yes,0.872985,0.864295,0.008690,0.995435,0.929312,0.929390,-0.000078,12,11,-1,Yes,No,diffusion_patch_04.png,32,0.3
attack_04,73702,000000073702.jpg,person,Yes,Yes,0.870100,0.844563,0.025537,2.934950,0.766320,0.855558,-0.089238,6,6,0,Yes,No,diffusion_patch_04.png,102,0.3
attack_04,74058,000000074058.jpg,car,Yes,Yes,0.746827,0.753849,-0.007022,-0.940245,0.900435,0.884661,0.015775,16,15,-1,Yes,No,diffusion_patch_04.png,17,0.3
attack_04,76416,000000076416.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,4,4,0,No,No,diffusion_patch_04.png,12,0.3
attack_04,76417,000000076417.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,3,3,0,No,No,diffusion_patch_04.png,95,0.3
attack_04,76625,000000076625.jpg,person,Yes,Yes,0.894286,0.894571,-0.000285,-0.031869,0.930117,0.921380,0.008737,8,8,0,Yes,No,diffusion_patch_04.png,16,0.3
attack_04,78823,000000078823.jpg,car,Yes,Yes,0.727214,0.608668,0.118546,16.301391,0.870087,0.905031,-0.034945,4,5,1,Yes,No,diffusion_patch_04.png,94,0.3
attack_04,79969,000000079969.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,13,11,-2,No,No,diffusion_patch_04.png,117,0.3
attack_04,80340,000000080340.jpg,person,Yes,Yes,0.928818,0.932896,-0.004078,-0.439053,0.765651,0.760020,0.005631,12,12,0,Yes,No,diffusion_patch_04.png,39,0.3
attack_04,80932,000000080932.jpg,person,Yes,Yes,0.876188,0.884628,-0.008440,-0.963264,0.981686,0.976583,0.005103,11,12,1,Yes,No,diffusion_patch_04.png,90,0.3
attack_04,81738,000000081738.jpg,person,Yes,Yes,0.728392,0.815005,-0.086613,-11.890987,0.981853,0.969291,0.012563,2,2,0,Yes,No,diffusion_patch_04.png,56,0.3
attack_04,84362,000000084362.jpg,person,Yes,Yes,0.894060,0.871800,0.022260,2.489766,0.892072,0.895974,-0.003902,6,6,0,Yes,No,diffusion_patch_04.png,30,0.3
attack_04,85376,000000085376.jpg,car,Yes,Yes,0.818038,0.868009,-0.049971,-6.108640,0.849628,0.867944,-0.018316,13,13,0,Yes,No,diffusion_patch_04.png,16,0.3
attack_04,85682,000000085682.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,17,15,-2,No,No,diffusion_patch_04.png,57,0.3
attack_04,86582,000000086582.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,8,8,0,No,No,diffusion_patch_04.png,54,0.3
attack_04,87144,000000087144.jpg,car,Yes,Yes,0.875992,0.871587,0.004405,0.502858,0.918669,0.925024,-0.006354,6,6,0,Yes,No,diffusion_patch_04.png,9,0.3
attack_04,89078,000000089078.jpg,person,Yes,Yes,0.913224,0.870771,0.042453,4.648695,0.883286,0.890226,-0.006941,1,2,1,Yes,No,diffusion_patch_04.png,66,0.3
attack_04,89648,000000089648.jpg,person,Yes,Yes,0.902370,0.821200,0.081170,8.995202,0.872576,0.872297,0.000279,23,25,2,Yes,No,diffusion_patch_04.png,50,0.3
attack_04,91406,000000091406.jpg,person,Yes,Yes,0.893965,0.881737,0.012228,1.367839,0.943644,0.935276,0.008367,23,22,-1,Yes,No,diffusion_patch_04.png,34,0.3
attack_04,93154,000000093154.jpg,car,Yes,Yes,0.808055,0.772907,0.035148,4.349704,0.924112,0.929270,-0.005158,14,15,1,Yes,No,diffusion_patch_04.png,11,0.3
attack_04,93261,000000093261.jpg,person,Yes,Yes,0.939988,0.935926,0.004062,0.432133,0.974878,0.977519,-0.002640,4,3,-1,Yes,No,diffusion_patch_04.png,62,0.3
attack_04,94751,000000094751.jpg,car,Yes,Yes,0.767937,0.699833,0.068104,8.868436,0.928333,0.933773,-0.005440,6,7,1,Yes,No,diffusion_patch_04.png,11,0.3
attack_04,97679,000000097679.jpg,car,Yes,Yes,0.921658,0.951091,-0.029433,-3.193484,0.864727,0.870080,-0.005353,4,4,0,Yes,No,diffusion_patch_04.png,65,0.3
attack_04,97988,000000097988.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,19,21,2,No,No,diffusion_patch_04.png,66,0.3
attack_04,98392,000000098392.jpg,car,Yes,Yes,0.883918,0.881237,0.002681,0.303309,0.953968,0.951525,0.002443,12,9,-3,Yes,No,diffusion_patch_04.png,37,0.3
attack_04,99039,000000099039.jpg,person,Yes,Yes,0.785757,0.856644,-0.070887,-9.021491,0.829388,0.813524,0.015864,8,12,4,Yes,No,diffusion_patch_04.png,34,0.3
attack_04,102411,000000102411.jpg,car,Yes,Yes,0.334507,0.645612,-0.311105,-93.004033,0.877561,0.881702,-0.004141,14,14,0,Yes,No,diffusion_patch_04.png,11,0.3
attack_04,102805,000000102805.jpg,car,Yes,Yes,0.908946,0.925110,-0.016164,-1.778323,0.971109,0.981664,-0.010555,7,7,0,Yes,No,diffusion_patch_04.png,21,0.3
attack_04,104424,000000104424.jpg,person,Yes,Yes,0.902591,0.890489,0.012102,1.340807,0.949694,0.946619,0.003075,3,3,0,Yes,No,diffusion_patch_04.png,36,0.3
attack_04,105923,000000105923.jpg,car,Yes,Yes,0.889889,0.892446,-0.002557,-0.287339,0.937018,0.937307,-0.000290,2,2,0,Yes,No,diffusion_patch_04.png,15,0.3
attack_04,107087,000000107087.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,1,1,0,No,No,diffusion_patch_04.png,76,0.3
attack_04,108503,000000108503.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,3,3,0,No,No,diffusion_patch_04.png,20,0.3
attack_04,110042,000000110042.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,8,8,0,No,No,diffusion_patch_04.png,12,0.3
attack_04,110784,000000110784.jpg,person,Yes,Yes,0.446118,0.438743,0.007375,1.653150,0.670708,0.685539,-0.014831,4,3,-1,Yes,No,diffusion_patch_04.png,15,0.3
