image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,random_seed,patch_x1,patch_y1,patch_x2,patch_y2,patch_size_pixels,subset_role
9590,000000009590.jpg,person,1,0.0,52.78,237.01,374.22,640,427,799732703,83,204,154,275,71,control
78823,000000078823.jpg,car,3,9.29,160.0,466.58,314.84,640,480,799732703,196,270,290,364,94,control
102411,000000102411.jpg,car,3,1.11,198.53,37.71,95.38,640,427,799732703,14,241,25,252,11,control
122166,000000122166.jpg,car,3,158.18,264.32,164.98,153.06,640,480,799732703,218,318,264,364,46,control
134886,000000134886.jpg,car,3,429.35,373.47,63.87,60.86,640,480,799732703,452,395,470,413,18,control
271997,000000271997.jpg,person,1,1.15,3.87,484.45,626.8,488,640,799732703,171,245,316,390,145,control
278705,000000278705.jpg,car,3,8.63,135.1,306.34,136.99,640,480,799732703,141,183,182,224,41,control
334309,000000334309.jpg,car,3,302.82,81.31,70.36,38.36,640,427,799732703,332,94,344,106,12,control
365207,000000365207.jpg,car,3,417.55,177.06,177.06,342.23,640,588,799732703,480,322,533,375,53,control
425226,000000425226.jpg,person,1,73.35,206.02,300.58,372.5,480,640,799732703,179,347,269,437,90,control
436617,000000436617.jpg,person,1,58.26,180.35,197.7,239.72,640,425,799732703,128,271,187,330,59,control
466986,000000466986.jpg,person,1,235.04,155.0,231.29,283.67,640,478,799732703,316,262,385,331,69,control
532855,000000532855.jpg,person,1,63.67,0.86,284.47,224.9,640,457,799732703,172,80,239,147,67,control
534041,000000534041.jpg,person,1,223.31,2.53,276.69,367.41,500,375,799732703,320,145,403,228,83,control
550691,000000550691.jpg,car,3,116.23,285.85,85.03,71.03,640,480,799732703,148,311,169,332,21,control
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,640,424,799732703,12,197,20,205,8,success
26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,423,640,799732703,160,192,182,214,22,success
127263,000000127263.jpg,car,3,501.43,106.88,138.57,67.52,640,427,799732703,561,131,581,151,20,success
135410,000000135410.jpg,car,3,154.07,221.97,225.31,93.81,480,640,799732703,253,255,281,283,28,success
166391,000000166391.jpg,car,3,577.57,336.36,62.28,45.19,640,427,799732703,602,352,616,366,14,success
181499,000000181499.jpg,person,1,167.16,382.73,121.04,123.35,640,513,799732703,210,426,246,462,36,success
193717,000000193717.jpg,car,3,0.0,173.74,40.95,48.23,521,640,799732703,14,192,26,204,12,success
338986,000000338986.jpg,car,3,294.98,523.05,108.02,103.88,403,640,799732703,333,559,364,590,31,success
347370,000000347370.jpg,person,1,0.86,62.77,93.99,281.01,500,375,799732703,34,189,62,217,28,success
385029,000000385029.jpg,person,1,0.0,308.49,272.9,170.43,640,480,799732703,111,368,162,419,51,success
393093,000000393093.jpg,car,3,282.56,355.03,75.76,46.45,640,424,799732703,313,371,327,385,14,success
407083,000000407083.jpg,car,3,0.0,1.66,480.0,623.38,480,640,799732703,168,241,312,385,144,success
413689,000000413689.jpg,car,3,1.47,144.4,52.82,23.56,640,426,799732703,24,153,31,160,7,success
527220,000000527220.jpg,car,3,3.0,3.5,163.0,154.5,500,169,799732703,62,58,108,104,46,success
542776,000000542776.jpg,person,1,246.03,197.2,393.97,224.01,640,426,799732703,410,276,477,343,67,success
