mitigation_id,source_attack_id,image_id,filename,target_class,case_type,clean_detected,attacked_detected,mitigated_detected,clean_confidence,attacked_confidence,mitigated_confidence,confidence_recovery,clean_to_mitigated_confidence_gap,clean_iou,attacked_iou,mitigated_iou,iou_recovery,clean_to_mitigated_iou_gap,attack_success,recovered_after_mitigation,control_preserved,control_regressed,patch_size_pixels,patch_x1,patch_y1,patch_x2,patch_y2,restoration_seed
mitigation_01,attack_02,9590,000000009590.jpg,person,control,Yes,Yes,Yes,0.900567,0.887392,0.918795,0.03140300000000007,-0.018228000000000022,0.9334095519062564,0.9280094606815582,0.9285033116444043,0.000493850962846043,0.004906240261852157,No,No,Yes,No,71,83,204,154,275,20260727
mitigation_01,attack_02,78823,000000078823.jpg,car,control,Yes,Yes,Yes,0.727214,0.609082,0.584801,-0.024280999999999997,0.142413,0.870086547452595,0.8982612260387908,0.9471007794158347,0.04883955337704393,-0.07701423196323975,No,No,Yes,No,94,196,270,290,364,20260727
mitigation_01,attack_02,102411,000000102411.jpg,car,control,Yes,Yes,Yes,0.334507,0.638348,0.645928,0.00757999999999992,-0.31142099999999995,0.8775613204336685,0.8868196886391094,0.8980439978148292,0.011224309175719815,-0.02048267738116072,No,No,Yes,No,11,14,241,25,252,20260727
mitigation_01,attack_02,122166,000000122166.jpg,car,control,Yes,Yes,Yes,0.750657,0.688251,0.712791,0.024540000000000006,0.037866000000000066,0.9652864430486399,0.9662846342402597,0.9648649764488505,-0.001419657791409179,0.0004214665997893663,No,No,Yes,No,46,218,318,264,364,20260727
mitigation_01,attack_02,134886,000000134886.jpg,car,control,Yes,Yes,No,0.511704,0.484315,0.0,-0.484315,0.511704,0.9447150845726618,0.914986335378242,0.0,-0.914986335378242,0.9447150845726618,No,No,No,Yes,18,452,395,470,413,20260727
mitigation_01,attack_02,271997,000000271997.jpg,person,control,Yes,Yes,Yes,0.844354,0.828697,0.849433,0.020735999999999977,-0.005078999999999945,0.9753126746669472,0.9634036221733129,0.9574295515039821,-0.0059740706693307555,0.01788312316296503,No,No,Yes,No,145,171,245,316,390,20260727
mitigation_01,attack_02,278705,000000278705.jpg,car,control,Yes,Yes,Yes,0.813368,0.775845,0.820034,0.044189000000000034,-0.006666000000000061,0.9437880911718336,0.9485311326635447,0.933399601192281,-0.01513153147126367,0.010388489979552551,No,No,Yes,No,41,141,183,182,224,20260727
mitigation_01,attack_02,334309,000000334309.jpg,car,control,Yes,Yes,Yes,0.59564,0.640453,0.6458,0.005346999999999991,-0.05016000000000009,0.8968321739647029,0.8798770014347834,0.8934733392918957,0.013596337857112228,0.003358834672807287,No,No,Yes,No,12,332,94,344,106,20260727
mitigation_01,attack_02,365207,000000365207.jpg,car,control,Yes,Yes,No,0.617426,0.726801,0.0,-0.726801,0.617426,0.5430752687671914,0.5002189618320543,0.0,-0.5002189618320543,0.5430752687671914,No,No,No,Yes,53,480,322,533,375,20260727
mitigation_01,attack_02,425226,000000425226.jpg,person,control,Yes,Yes,Yes,0.899982,0.89741,0.827115,-0.070295,0.0728669999999999,0.9502694650446666,0.9585517966209234,0.960889975608704,0.002338178987780659,-0.010620510564037455,No,No,Yes,No,90,179,347,269,437,20260727
