mitigation_id,source_attack_id,subset_role,image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,attack_random_seed,clean_detected,attacked_detected,eligible_for_asr,attack_success,clean_confidence,attacked_confidence,clean_iou,attacked_iou,patch_filename,patch_size_pixels,patch_scale,patch_center_x,patch_center_y,reconstructed_patch_size,reconstructed_patch_x,reconstructed_patch_y,reconstructed_x1,reconstructed_y1,reconstructed_x2,reconstructed_y2,control_selection_seed
mitigation_01,attack_02,control,9590,000000009590.jpg,person,1,0.0,52.78,237.01,374.22,640,427,799732703,Yes,Yes,Yes,No,0.900567,0.887392,0.9334095519062564,0.9280094606815582,diffusion_patch_02.png,71,0.3,118.505,239.89000000000001,71,83.005,204.39000000000001,83,204,154,275,22021501
mitigation_01,attack_02,control,78823,000000078823.jpg,car,3,9.29,160.0,466.58,314.84,640,480,799732703,Yes,Yes,Yes,No,0.727214,0.609082,0.870086547452595,0.8982612260387908,diffusion_patch_02.png,94,0.3,242.57999999999998,317.41999999999996,94,195.57999999999998,270.41999999999996,196,270,290,364,22021501
mitigation_01,attack_02,control,102411,000000102411.jpg,car,3,1.11,198.53,37.71,95.38,640,427,799732703,Yes,Yes,Yes,No,0.334507,0.638348,0.8775613204336685,0.8868196886391094,diffusion_patch_02.png,11,0.3,19.965,246.22,11,14.465,240.72,14,241,25,252,22021501
mitigation_01,attack_02,control,122166,000000122166.jpg,car,3,158.18,264.32,164.98,153.06,640,480,799732703,Yes,Yes,Yes,No,0.750657,0.688251,0.9652864430486399,0.9662846342402597,diffusion_patch_02.png,46,0.3,240.67000000000002,340.85,46,217.67000000000002,317.85,218,318,264,364,22021501
mitigation_01,attack_02,control,134886,000000134886.jpg,car,3,429.35,373.47,63.87,60.86,640,480,799732703,Yes,Yes,Yes,No,0.511704,0.484315,0.9447150845726618,0.914986335378242,diffusion_patch_02.png,18,0.3,461.285,403.90000000000003,18,452.285,394.90000000000003,452,395,470,413,22021501
mitigation_01,attack_02,control,271997,000000271997.jpg,person,1,1.15,3.87,484.45,626.8,488,640,799732703,Yes,Yes,Yes,No,0.844354,0.828697,0.9753126746669472,0.9634036221733129,diffusion_patch_02.png,145,0.3,243.375,317.27,145,170.875,244.76999999999998,171,245,316,390,22021501
mitigation_01,attack_02,control,278705,000000278705.jpg,car,3,8.63,135.1,306.34,136.99,640,480,799732703,Yes,Yes,Yes,No,0.813368,0.775845,0.9437880911718336,0.9485311326635447,diffusion_patch_02.png,41,0.3,161.79999999999998,203.595,41,141.29999999999998,183.095,141,183,182,224,22021501
mitigation_01,attack_02,control,334309,000000334309.jpg,car,3,302.82,81.31,70.36,38.36,640,427,799732703,Yes,Yes,Yes,No,0.59564,0.640453,0.8968321739647029,0.8798770014347834,diffusion_patch_02.png,12,0.3,338.0,100.49000000000001,12,332.0,94.49000000000001,332,94,344,106,22021501
mitigation_01,attack_02,control,365207,000000365207.jpg,car,3,417.55,177.06,177.06,342.23,640,588,799732703,Yes,Yes,Yes,No,0.617426,0.726801,0.5430752687671914,0.5002189618320543,diffusion_patch_02.png,53,0.3,506.08000000000004,348.175,53,479.58000000000004,321.675,480,322,533,375,22021501
mitigation_01,attack_02,control,425226,000000425226.jpg,person,1,73.35,206.02,300.58,372.5,480,640,799732703,Yes,Yes,Yes,No,0.899982,0.89741,0.9502694650446666,0.9585517966209234,diffusion_patch_02.png,90,0.3,223.64,392.27,90,178.64,347.27,179,347,269,437,22021501
mitigation_01,attack_02,control,436617,000000436617.jpg,person,1,58.26,180.35,197.7,239.72,640,425,799732703,Yes,Yes,Yes,No,0.8907,0.876841,0.9682442584055087,0.9629129503835534,diffusion_patch_02.png,59,0.3,157.10999999999999,300.21,59,127.60999999999999,270.71,128,271,187,330,22021501
mitigation_01,attack_02,control,466986,000000466986.jpg,person,1,235.04,155.0,231.29,283.67,640,478,799732703,Yes,Yes,Yes,No,0.901856,0.884684,0.9712071531996818,0.9684951297565709,diffusion_patch_02.png,69,0.3,350.685,296.83500000000004,69,316.185,262.33500000000004,316,262,385,331,22021501
mitigation_01,attack_02,control,532855,000000532855.jpg,person,1,63.67,0.86,284.47,224.9,640,457,799732703,Yes,Yes,Yes,No,0.881556,0.68323,0.814018587089302,0.84518304152407,diffusion_patch_02.png,67,0.3,205.90500000000003,113.31,67,172.40500000000003,79.81,172,80,239,147,22021501
