image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,random_seed,patch_x1,patch_y1,patch_x2,patch_y2,patch_size_pixels,subset_role
9891,000000009891.jpg,car,3,284.76,79.89,355.24,220.05,640,480,2069153322,429,157,495,223,66,control
19924,000000019924.jpg,person,1,14.61,29.21,434.83,465.17,458,500,2069153322,167,197,297,327,130,control
21903,000000021903.jpg,person,1,334.38,224.36,216.81,250.25,640,480,2069153322,410,317,475,382,65,control
22755,000000022755.jpg,car,3,362.56,228.16,58.21,25.68,640,479,2069153322,388,237,396,245,8,control
149375,000000149375.jpg,person,1,208.17,42.17,185.28,333.51,640,485,2069153322,273,181,329,237,56,control
155341,000000155341.jpg,car,3,151.93,284.78,241.16,130.78,640,480,2069153322,253,331,292,370,39,control
171382,000000171382.jpg,car,3,0.0,175.45,275.42,101.97,640,426,2069153322,122,211,153,242,31,control
186042,000000186042.jpg,person,1,111.78,65.48,90.57,185.53,640,360,2069153322,144,145,171,172,27,control
193162,000000193162.jpg,person,1,394.62,97.83,93.83,68.42,640,428,2069153322,431,122,452,143,21,control
275749,000000275749.jpg,person,1,311.98,125.39,87.9,226.69,500,375,2069153322,343,226,369,252,26,control
296649,000000296649.jpg,car,3,427.91,329.25,212.09,93.27,640,427,2069153322,520,362,548,390,28,control
351810,000000351810.jpg,person,1,22.65,111.73,85.57,166.95,500,375,2069153322,52,182,78,208,26,control
354829,000000354829.jpg,car,3,81.74,84.27,289.89,154.21,500,375,2069153322,204,138,250,184,46,control
368335,000000368335.jpg,car,3,1.44,95.86,122.52,420.9,411,640,2069153322,44,288,81,325,37,control
414510,000000414510.jpg,person,1,115.72,247.31,87.1,159.08,480,640,2069153322,146,314,172,340,26,control
416451,000000416451.jpg,person,1,27.92,88.26,264.16,391.74,640,480,2069153322,120,245,199,324,79,control
453841,000000453841.jpg,car,3,200.67,161.93,201.67,165.58,500,339,2069153322,277,220,327,270,50,control
480021,000000480021.jpg,car,3,302.11,97.7,149.75,62.33,640,471,2069153322,367,119,386,138,19,control
520009,000000520009.jpg,car,3,0.0,334.4,216.24,77.6,500,412,2069153322,97,362,120,385,23,control
549220,000000549220.jpg,person,1,248.05,2.87,139.79,226.13,480,640,2069153322,297,95,339,137,42,control
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,640,424,2069153322,12,197,20,205,8,success
26465,000000026465.jpg,person,1,0.0,0.84,131.46,294.95,500,375,2069153322,46,129,85,168,39,success
26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,423,640,2069153322,160,192,182,214,22,success
43737,000000043737.jpg,car,3,111.23,416.09,81.12,38.0,480,640,2069153322,146,430,157,441,11,success
55150,000000055150.jpg,car,3,435.57,0.8,204.43,392.49,640,426,2069153322,507,167,568,228,61,success
127263,000000127263.jpg,car,3,501.43,106.88,138.57,67.52,640,427,2069153322,561,131,581,151,20,success
135410,000000135410.jpg,car,3,154.07,221.97,225.31,93.81,480,640,2069153322,253,255,281,283,28,success
211674,000000211674.jpg,person,1,381.29,200.93,54.47,64.54,640,406,2069153322,401,225,417,241,16,success
231508,000000231508.jpg,car,3,127.53,103.18,93.73,41.58,335,500,2069153322,168,118,180,130,12,success
338986,000000338986.jpg,car,3,294.98,523.05,108.02,103.88,403,640,2069153322,333,559,364,590,31,success
393093,000000393093.jpg,car,3,282.56,355.03,75.76,46.45,640,424,2069153322,313,371,327,385,14,success
407083,000000407083.jpg,car,3,0.0,1.66,480.0,623.38,480,640,2069153322,168,241,312,385,144,success
427055,000000427055.jpg,car,3,319.4,309.1,46.36,31.49,640,480,2069153322,338,320,347,329,9,success
448256,000000448256.jpg,person,1,267.8,81.1,211.57,255.41,640,426,2069153322,342,177,405,240,63,success
456303,000000456303.jpg,person,1,72.93,65.33,136.05,181.85,321,500,2069153322,120,136,161,177,41,success
474164,000000474164.jpg,car,3,28.44,378.62,93.42,49.47,633,640,2069153322,68,396,83,411,15,success
490936,000000490936.jpg,car,3,376.74,81.29,75.11,86.79,480,640,2069153322,403,113,426,136,23,success
500613,000000500613.jpg,car,3,556.0,201.78,84.0,81.96,640,425,2069153322,586,230,611,255,25,success
527220,000000527220.jpg,car,3,3.0,3.5,163.0,154.5,500,169,2069153322,62,58,108,104,46,success
566758,000000566758.jpg,car,3,538.82,177.32,94.35,49.87,640,480,2069153322,578,195,593,210,15,success
