image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height
413552,000000413552.jpg,person,1,0.0,0.0,426.0,640.0,426,640
500716,000000500716.jpg,person,1,0.0,0.0,445.0,500.0,445,500
20992,000000020992.jpg,person,1,0.0,0.45,500.0,332.55,500,333
72795,000000072795.jpg,person,1,0,0,639,479,640,480
191845,000000191845.jpg,person,1,0,0,639,360,640,361
364884,000000364884.jpg,person,1,0,0,499,353,500,354
261097,000000261097.jpg,person,1,0,0,332,499,333,500
12670,000000012670.jpg,person,1,1,0,638,427,640,428
5586,000000005586.jpg,person,1,0,0,319,239,320,240
299553,000000299553.jpg,person,1,1,0,373,499,375,500
23272,000000023272.jpg,car,3,0.0,0.08,499.46,370.98,500,375
407083,000000407083.jpg,car,3,0.0,1.66,480.0,623.38,480,640
260925,000000260925.jpg,car,3,1.08,28.65,638.92,445.4,640,480
65485,000000065485.jpg,car,3,7.36,34.36,632.64,329.64,640,364
421455,000000421455.jpg,car,3,2.52,2.24,454.04,363.23,500,375
466156,000000466156.jpg,car,3,0.0,18.75,500.0,329.84,500,375
10363,000000010363.jpg,car,3,90.83,27.17,549.17,333.83,640,361
215723,000000215723.jpg,car,3,1.08,97.08,638.92,377.53,640,480
560474,000000560474.jpg,car,3,0.0,119.73,640.0,354.88,640,480
263463,000000263463.jpg,car,3,0.96,71.76,544.76,355.24,640,427
