image_id,filename,mask_iou,mask_precision,mask_recall,true_patch_area,predicted_mask_area,false_positive_pixels,false_negative_pixels,false_positive_benign_ratio
000000015338,000000015338.jpg,0.0015902918797250018,0.0015909146535477397,0.8024691358024691,81,40857,40792,16,0.15036917712023415
000000026926,000000026926.jpg,0.025838073338981,0.0259985387238188,0.8071833648393195,529,16424,15997,102,0.05920626519758245
000000127263,000000127263.jpg,0.01881791677710045,0.018830393846969898,0.9659863945578231,441,22623,22197,15,0.08135567129332684
000000135410,000000135410.jpg,0.02224653537563822,0.02227653238946008,0.9429250891795482,841,35598,34805,48,0.11360854422425977
000000166391,000000166391.jpg,0.011221385467059,0.011221385467059,1.0,225,20051,19826,0,0.07260808262071744
000000181499,000000181499.jpg,0.07351943942133815,0.0738030406171999,0.9503287070854638,1369,17628,16327,68,0.04993714654489511
000000193717,000000193717.jpg,0.005298352029816933,0.0053030025966426505,0.8579881656804734,169,27343,27198,24,0.08160926093179424
000000338986,000000338986.jpg,0.043677865019092973,0.0436891120552766,0.994140625,1024,23301,22283,6,0.08673938091679123
000000347370,000000347370.jpg,0.02583732057416268,0.025840511253125868,0.995243757431629,841,32391,31554,4,0.1690462286843924
000000385029,000000385029.jpg,0.08824679247965313,0.088945407651526,0.9182692307692307,2704,27916,25433,221,0.08352490673112291
000000393093,000000393093.jpg,0.0040576465649923045,0.004059431679564861,0.9022222222222223,225,50007,49804,22,0.18368709314548104
000000407083,000000407083.jpg,0.13415214700561745,0.21054991034070533,0.26992337164750957,20880,26768,21132,15244,0.07380553227158425
000000413689,000000413689.jpg,0.0009904480518390438,0.000990531193338258,0.921875,64,59564,59505,5,0.21830608710965016
000000527220,000000527220.jpg,0.09765068818224965,0.11687020732746378,0.37256677229515617,2209,7042,6219,1386,0.07557327046700126
000000542776,000000542776.jpg,0.4025974025974026,0.6465330444203684,0.516219723183391,4624,3692,1305,2237,0.004869112291803475
000000295809,000000295809.jpg,0.002427383062866494,0.0024310297732859872,0.6180555555555556,144,36610,36521,55,0.11150224708123688
000000322864,000000322864.jpg,0.15549158767184476,0.16496419545071608,0.7303030303030303,4290,18992,15859,1157,0.058957582066247814
000000331604,000000331604.jpg,0.07664768104149715,0.07681017612524461,0.9731404958677686,484,6132,5661,13,0.020751770553820437
000000336232,000000336232.jpg,0.018023647024896665,0.01803838568473712,0.9566326530612245,784,41578,40828,34,0.1498297222711526
000000357737,000000357737.jpg,0.023886982485850528,0.02400394094552837,0.8305785123966942,1936,66989,65381,328,0.21417854709366319
000000368335,000000368335.jpg,0.0646323489273432,0.06556287723572733,0.8199445983379502,1444,18059,16875,260,0.064507867092769
000000372260,000000372260.jpg,0.020921007243877198,0.02095099918821355,0.9359567901234568,1296,57897,56684,83,0.20840931819518796
000000400367,000000400367.jpg,0.030630729538343306,0.03074380165289256,0.8928,625,18150,17592,67,0.10605576488319518
000000436617,000000436617.jpg,0.0769042220724309,0.0795613034106758,0.6972222222222222,3600,31548,29038,1090,0.10818926974664679
000000443426,000000443426.jpg,0.2743897494120509,0.4576007573708412,0.4066462352022114,16641,14788,8021,9874,0.027605408884254144
000000508602,000000508602.jpg,0.06052818850320234,0.0637491672218521,0.5450338198647205,2809,24016,22485,1278,0.10621613578281552
000000511599,000000511599.jpg,0.005043847079727173,0.005046739691460687,0.8979591836734694,196,34874,34698,20,0.11302132871232948
000000521141,000000521141.jpg,0.004954383420941333,0.00496608527131783,0.6776859504132231,121,16512,16430,39,0.08768325159169384
000000548246,000000548246.jpg,0.09065493846101394,0.09532515953251595,0.649169921875,4096,27894,25235,1437,0.09352392670777988
000000557672,000000557672.jpg,0.21886488970588236,0.31247437054047406,0.4221606648199446,9025,12193,8383,5215,0.03126876666853168
