source_attack,image_id,image_id_raw,filename,target_class,subset_type,clean_detected,attacked_detected,clean_confidence,attacked_confidence,clean_iou,attacked_iou,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,patch_size_pixels,patch_center_x,patch_center_y,true_patch_x1,true_patch_y1,true_patch_x2,true_patch_y2,source_attacked_path,source_clean_path,selection_seed
attack_02,000000015338,15338,000000015338.jpg,car,attack_success,True,False,0.283718,0.0,0.8596497750230144,0.0,0.0,187.2,32.65,27.37,640,424,8.0,16.325,200.885,12.325,196.885,20.325,204.885,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000015338.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000015338.jpg,20260817
attack_02,000000026926,26926,000000026926.jpg,car,attack_success,True,False,0.252646,0.0,0.7606389546161549,0.0,134.13,159.86,74.46,85.28,423,640,22.0,171.35999999999999,202.5,160.35999999999999,191.5,182.35999999999999,213.5,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000026926.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000026926.jpg,20260817
attack_02,000000127263,127263,000000127263.jpg,car,attack_success,True,False,0.27451,0.0,0.9329578275272816,0.0,501.43,106.88,138.57,67.52,640,427,20.0,570.715,140.64,560.715,130.64,580.715,150.64,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000127263.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000127263.jpg,20260817
attack_02,000000135410,135410,000000135410.jpg,car,attack_success,True,False,0.270825,0.0,0.6187580273606919,0.0,154.07,221.97,225.31,93.81,480,640,28.0,266.725,268.875,252.72500000000002,254.875,280.725,282.875,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000135410.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000135410.jpg,20260817
attack_02,000000166391,166391,000000166391.jpg,car,attack_success,True,False,0.512845,0.0,0.9236275657862918,0.0,577.57,336.36,62.28,45.19,640,427,14.0,608.71,358.95500000000004,601.71,351.95500000000004,615.71,365.95500000000004,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000166391.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000166391.jpg,20260817
attack_02,000000181499,181499,000000181499.jpg,person,attack_success,True,False,0.376848,0.0,0.9311467974495277,0.0,167.16,382.73,121.04,123.35,640,513,36.0,227.68,444.40500000000003,209.68,426.40500000000003,245.68,462.40500000000003,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000181499.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000181499.jpg,20260817
attack_02,000000193717,193717,000000193717.jpg,car,attack_success,True,False,0.329352,0.0,0.9381606177941323,0.0,0.0,173.74,40.95,48.23,521,640,12.0,20.475,197.85500000000002,14.475000000000001,191.85500000000002,26.475,203.85500000000002,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000193717.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000193717.jpg,20260817
attack_02,000000338986,338986,000000338986.jpg,car,attack_success,True,False,0.665034,0.0,0.9128065470555072,0.0,294.98,523.05,108.02,103.88,403,640,31.0,348.99,574.99,333.49,559.49,364.49,590.49,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000338986.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000338986.jpg,20260817
attack_02,000000347370,347370,000000347370.jpg,person,attack_success,True,False,0.420738,0.0,0.816972565114441,0.0,0.86,62.77,93.99,281.01,500,375,28.0,47.855,203.275,33.855,189.275,61.855,217.275,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000347370.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000347370.jpg,20260817
attack_02,000000385029,385029,000000385029.jpg,person,attack_success,True,False,0.296063,0.0,0.9951020456221895,0.0,0.0,308.49,272.9,170.43,640,480,51.0,136.45,393.70500000000004,110.94999999999999,368.20500000000004,161.95,419.20500000000004,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000385029.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000385029.jpg,20260817
