image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,random_seed
1296,000000001296.jpg,person,1,7.16,1.57,419.84,634.27,427,640,799732703
1353,000000001353.jpg,person,1,138.58,198.11,128.05,184.54,375,500,799732703
1532,000000001532.jpg,car,3,225.05,361.7,195.39,118.3,640,480,799732703
5001,000000005001.jpg,person,1,354.88,91.69,162.87,378.6,640,480,799732703
5193,000000005193.jpg,person,1,1.91,89.78,216.8,330.44,640,425,799732703
9590,000000009590.jpg,person,1,0.0,52.78,237.01,374.22,640,427,799732703
12120,000000012120.jpg,person,1,1,0,638,289,640,428,799732703
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,640,424,799732703
17207,000000017207.jpg,car,3,482.06,82.4,156.57,235.88,640,480,799732703
18770,000000018770.jpg,person,1,173.91,0.72,466.09,422.21,640,428,799732703
18837,000000018837.jpg,car,3,591.1,254.64,33.4,47.03,640,480,799732703
21839,000000021839.jpg,car,3,0.0,456.46,32.44,62.13,480,640,799732703
24243,000000024243.jpg,person,1,41.88,60.24,265.23,413.42,640,480,799732703
25393,000000025393.jpg,car,3,19.79,198.03,49.92,42.21,640,480,799732703
26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,423,640,799732703
33759,000000033759.jpg,person,1,77.02,56.48,192.05,393.33,640,457,799732703
33854,000000033854.jpg,car,3,0.96,217.83,268.32,202.92,640,427,799732703
35682,000000035682.jpg,person,1,96.36,2.97,257.44,306.34,480,640,799732703
40083,000000040083.jpg,car,3,134.63,136.24,118.88,73.05,500,333,799732703
41633,000000041633.jpg,car,3,561.27,326.88,66.43,44.13,640,429,799732703
50380,000000050380.jpg,person,1,331.04,0.0,220.7,422.04,640,427,799732703
53626,000000053626.jpg,person,1,124.93,139.7,97.49,247.09,640,480,799732703
54967,000000054967.jpg,car,3,0,421,192,52,424,640,799732703
65350,000000065350.jpg,car,3,54.03,1.13,212.54,84.55,640,427,799732703
65485,000000065485.jpg,car,3,7.36,34.36,632.64,329.64,640,364,799732703
66706,000000066706.jpg,person,1,357.29,58.71,139.7,438.33,612,612,799732703
67616,000000067616.jpg,car,3,391.31,339.93,145.9,104.56,640,480,799732703
73533,000000073533.jpg,person,1,6.49,32.97,460.59,447.03,640,480,799732703
74058,000000074058.jpg,person,1,27.67,158.53,74.4,176.12,640,427,799732703
78823,000000078823.jpg,car,3,9.29,160.0,466.58,314.84,640,480,799732703
82085,000000082085.jpg,person,1,69.68,177.61,45.32,158.27,640,428,799732703
86220,000000086220.jpg,car,3,134.24,209.08,311.21,126.52,640,428,799732703
93353,000000093353.jpg,person,1,3.24,98.16,297.7,379.68,640,480,799732703
96825,000000096825.jpg,person,1,289.54,239.99,65.85,163.51,640,503,799732703
97679,000000097679.jpg,person,1,274.55,220.36,47.53,35.86,640,480,799732703
97924,000000097924.jpg,person,1,106.07,124.94,127.64,230.12,600,400,799732703
98853,000000098853.jpg,person,1,0,0,426,179,427,640,799732703
99024,000000099024.jpg,person,1,1.09,0.82,339.47,203.46,640,482,799732703
102411,000000102411.jpg,car,3,1.11,198.53,37.71,95.38,640,427,799732703
111036,000000111036.jpg,car,3,251.48,3.01,173.18,138.54,425,640,799732703
111086,000000111086.jpg,car,3,299.68,206.97,155.89,103.68,500,336,799732703
114770,000000114770.jpg,car,3,148.2,139.39,385.67,195.0,640,403,799732703
115870,000000115870.jpg,person,1,185.68,243.13,434.98,182.87,640,426,799732703
122166,000000122166.jpg,car,3,158.18,264.32,164.98,153.06,640,480,799732703
126592,000000126592.jpg,car,3,316.91,269.85,192.28,57.59,640,433,799732703
127263,000000127263.jpg,car,3,501.43,106.88,138.57,67.52,640,427,799732703
131556,000000131556.jpg,person,1,228.51,86.1,378.65,214.16,640,425,799732703
134886,000000134886.jpg,car,3,429.35,373.47,63.87,60.86,640,480,799732703
135410,000000135410.jpg,car,3,154.07,221.97,225.31,93.81,480,640,799732703
136715,000000136715.jpg,car,3,507.72,45.77,132.16,269.07,640,425,799732703
137727,000000137727.jpg,car,3,582.84,194.84,32.5,28.99,640,359,799732703
138979,000000138979.jpg,car,3,312.4,174.06,327.6,246.44,640,426,799732703
142620,000000142620.jpg,person,1,269.96,5.74,359.95,414.52,640,426,799732703
142790,000000142790.jpg,person,1,258.25,143.36,165.41,124.18,500,375,799732703
147223,000000147223.jpg,car,3,1.55,156.34,148.19,137.32,640,360,799732703
150265,000000150265.jpg,person,1,122.25,375.37,199.91,254.56,480,640,799732703
151820,000000151820.jpg,person,1,342.9,158.71,188.84,267.86,640,427,799732703
152771,000000152771.jpg,car,3,1.54,259.7,64.5,31.91,640,479,799732703
153011,000000153011.jpg,car,3,326.24,217.04,72.18,36.25,640,480,799732703
155145,000000155145.jpg,person,1,117.75,194.34,27.51,31.92,500,375,799732703
157928,000000157928.jpg,car,3,0.0,99.48,108.92,147.89,640,480,799732703
158956,000000158956.jpg,person,1,169.04,39.16,323.77,379.15,640,425,799732703
160012,000000160012.jpg,car,3,507.6,5.78,106.08,67.42,640,461,799732703
161609,000000161609.jpg,person,1,278.29,67.78,361.71,407.73,640,480,799732703
161781,000000161781.jpg,person,1,260.63,20.33,205.63,343.12,640,428,799732703
162858,000000162858.jpg,car,3,50.42,345.2,157.77,131.98,428,640,799732703
166391,000000166391.jpg,car,3,577.57,336.36,62.28,45.19,640,427,799732703
167067,000000167067.jpg,person,1,3.37,0.0,371.63,493.26,375,500,799732703
171382,000000171382.jpg,car,3,0.0,175.45,275.42,101.97,640,426,799732703
172330,000000172330.jpg,car,3,61.48,1.08,578.16,310.65,640,480,799732703
173799,000000173799.jpg,person,1,8.24,176.63,167.21,339.13,640,524,799732703
174123,000000174123.jpg,person,1,117.11,345.77,151.26,53.23,500,399,799732703
174482,000000174482.jpg,car,3,148.45,71.56,92.0,44.27,640,388,799732703
175438,000000175438.jpg,car,3,166,205,178,40,640,468,799732703
176606,000000176606.jpg,car,3,63.32,195.27,65.2,54.02,640,480,799732703
177489,000000177489.jpg,person,1,59.08,118.23,291.1,354.47,640,478,799732703
177893,000000177893.jpg,car,3,580.09,199.39,34.34,22.79,640,428,799732703
181499,000000181499.jpg,person,1,167.16,382.73,121.04,123.35,640,513,799732703
181542,000000181542.jpg,car,3,1.2,130.33,121.51,71.94,640,600,799732703
182155,000000182155.jpg,person,1,94.77,22.37,497.8,398.42,640,426,799732703
188296,000000188296.jpg,car,3,1.37,288.53,117.69,99.91,640,609,799732703
191845,000000191845.jpg,person,1,0,0,639,360,640,361,799732703
193717,000000193717.jpg,car,3,0.0,173.74,40.95,48.23,521,640,799732703
194716,000000194716.jpg,car,3,544.55,1.0,95.45,29.14,640,427,799732703
206487,000000206487.jpg,car,3,0.0,209.63,239.71,269.92,640,480,799732703
207844,000000207844.jpg,person,1,36,227,590,181,640,480,799732703
213255,000000213255.jpg,car,3,192.26,135.79,153.07,83.68,480,640,799732703
213605,000000213605.jpg,car,3,358.87,445.2,121.12,147.35,480,640,799732703
214539,000000214539.jpg,person,1,1,55,569,239,640,427,799732703
217872,000000217872.jpg,person,1,150.12,167.73,147.98,74.94,334,500,799732703
220732,000000220732.jpg,car,3,450.25,236.03,177.01,41.79,640,480,799732703
222094,000000222094.jpg,car,3,21.72,215.19,90.12,27.34,500,375,799732703
225532,000000225532.jpg,car,3,368.55,220.61,131.45,130.48,500,375,799732703
227511,000000227511.jpg,car,3,65.73,286.89,160.49,88.11,500,375,799732703
228436,000000228436.jpg,car,3,263,125,292,45,640,485,799732703
230819,000000230819.jpg,person,1,202.06,153.38,80.64,121.21,640,432,799732703
236599,000000236599.jpg,person,1,410.66,264.84,27.66,34.27,500,346,799732703
237118,000000237118.jpg,person,1,239.64,150.6,226.73,467.8,580,640,799732703
238410,000000238410.jpg,person,1,374.37,200.81,251.92,246.17,640,480,799732703
249180,000000249180.jpg,person,1,139.76,210.85,60.73,203.38,640,427,799732703
255917,000000255917.jpg,car,3,59,253,252,84,640,427,799732703
261318,000000261318.jpg,person,1,91.6,179.08,212.52,398.24,427,640,799732703
263594,000000263594.jpg,car,3,33.89,142.15,425.78,148.34,500,381,799732703
263969,000000263969.jpg,person,1,224.81,57.57,413.98,542.83,640,610,799732703
269942,000000269942.jpg,car,3,92.42,460.03,59.42,48.89,480,640,799732703
270122,000000270122.jpg,person,1,304.47,179.92,35.63,48.17,640,427,799732703
271997,000000271997.jpg,person,1,1.15,3.87,484.45,626.8,488,640,799732703
273198,000000273198.jpg,car,3,257.34,0.0,128.99,33.27,500,375,799732703
275392,000000275392.jpg,person,1,139.25,91.49,200.09,373.94,480,640,799732703
276720,000000276720.jpg,car,3,276.96,281.63,34.14,35.9,640,480,799732703
277005,000000277005.jpg,person,1,107,252,300,78,640,426,799732703
278705,000000278705.jpg,car,3,8.63,135.1,306.34,136.99,640,480,799732703
279714,000000279714.jpg,car,3,221.92,433.96,203.08,171.82,425,640,799732703
284725,000000284725.jpg,car,3,147.53,290.17,230.79,86.11,640,427,799732703
289594,000000289594.jpg,person,1,336.1,231.26,66.66,230.67,519,640,799732703
291619,000000291619.jpg,person,1,131.0,129.08,99.52,193.17,640,427,799732703
292236,000000292236.jpg,person,1,101.85,90.57,110.85,395.49,332,500,799732703
295478,000000295478.jpg,person,1,151.69,35.76,196.48,579.32,512,640,799732703
295809,000000295809.jpg,car,3,50.3,103.29,101.02,37.59,640,512,799732703
296649,000000296649.jpg,car,3,427.91,329.25,212.09,93.27,640,427,799732703
296657,000000296657.jpg,person,1,154.42,85.06,190.19,253.33,640,427,799732703
302107,000000302107.jpg,person,1,92.46,174.45,254.27,345.28,427,640,799732703
303566,000000303566.jpg,car,3,206.97,88.46,41.48,32.79,640,426,799732703
309964,000000309964.jpg,car,3,542.15,93.88,97.85,137.21,640,427,799732703
310072,000000310072.jpg,car,3,223.85,0.0,258.83,69.08,640,383,799732703
310862,000000310862.jpg,person,1,5.5,4.13,572.12,598.24,612,612,799732703
312192,000000312192.jpg,person,1,297.97,11.65,342.03,212.37,640,480,799732703
315187,000000315187.jpg,car,3,194.95,350.42,125.95,51.05,640,448,799732703
315450,000000315450.jpg,car,3,46.87,230.53,103.7,68.65,640,428,799732703
322864,000000322864.jpg,car,3,0.0,379.59,427.0,216.71,427,640,799732703
323571,000000323571.jpg,car,3,72.67,593.34,80.11,35.72,478,640,799732703
324158,000000324158.jpg,car,3,90.26,171.66,49.58,17.36,500,334,799732703
326541,000000326541.jpg,car,3,242.81,268.59,91.88,87.19,640,360,799732703
326627,000000326627.jpg,car,3,290.78,397.44,54.19,39.78,640,480,799732703
327617,000000327617.jpg,person,1,63.28,106.43,188.41,523.5,379,640,799732703
331604,000000331604.jpg,person,1,295.96,149.79,69.38,141.59,640,427,799732703
333402,000000333402.jpg,person,1,476.22,166.92,88.21,225.75,640,425,799732703
