image_id,filename,target_class,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,subset_type
000000015338,000000015338.jpg,car,0.0,187.2,32.65,27.37,640,424,attack_success
000000026926,000000026926.jpg,car,134.13,159.86,74.46,85.28,423,640,attack_success
000000127263,000000127263.jpg,car,501.43,106.88,138.57,67.52,640,427,attack_success
000000135410,000000135410.jpg,car,154.07,221.97,225.31,93.81,480,640,attack_success
000000166391,000000166391.jpg,car,577.57,336.36,62.28,45.19,640,427,attack_success
000000181499,000000181499.jpg,person,167.16,382.73,121.04,123.35,640,513,attack_success
000000193717,000000193717.jpg,car,0.0,173.74,40.95,48.23,521,640,attack_success
000000338986,000000338986.jpg,car,294.98,523.05,108.02,103.88,403,640,attack_success
000000347370,000000347370.jpg,person,0.86,62.77,93.99,281.01,500,375,attack_success
000000385029,000000385029.jpg,person,0.0,308.49,272.9,170.43,640,480,attack_success
000000393093,000000393093.jpg,car,282.56,355.03,75.76,46.45,640,424,attack_success
000000407083,000000407083.jpg,car,0.0,1.66,480.0,623.38,480,640,attack_success
000000413689,000000413689.jpg,car,1.47,144.4,52.82,23.56,640,426,attack_success
000000527220,000000527220.jpg,car,3.0,3.5,163.0,154.5,500,169,attack_success
000000542776,000000542776.jpg,person,246.03,197.2,393.97,224.01,640,426,attack_success
000000295809,000000295809.jpg,car,50.3,103.29,101.02,37.59,640,512,control
000000322864,000000322864.jpg,car,0.0,379.59,427.0,216.71,427,640,control
000000331604,000000331604.jpg,person,295.96,149.79,69.38,141.59,640,427,control
000000336232,000000336232.jpg,person,86.31,133.3,90.28,173.79,640,427,control
000000357737,000000357737.jpg,car,63.14,112.73,335.84,144.81,640,480,control
000000368335,000000368335.jpg,car,1.44,95.86,122.52,420.9,411,640,control
000000372260,000000372260.jpg,car,0.0,315.65,117.63,210.85,427,640,control
000000400367,000000400367.jpg,car,11.92,241.44,115.47,79.71,500,333,control
000000436617,000000436617.jpg,person,58.26,180.35,197.7,239.72,640,425,control
000000443426,000000443426.jpg,person,20.04,203.45,459.96,428.1,480,640,control
000000508602,000000508602.jpg,car,1.85,251.93,498.15,172.52,500,429,control
000000511599,000000511599.jpg,person,397.25,259.35,44.96,62.45,640,480,control
000000521141,000000521141.jpg,car,304.59,241.5,70.32,31.93,375,500,control
000000548246,000000548246.jpg,person,214.8,100.19,208.39,323.0,640,428,control
000000557672,000000557672.jpg,person,212.12,38.92,314.29,390.19,640,433,control
