attack_id,image_id,clean_filename,patched_filename,pair_verified,target_class,clean_wh,patched_wh,status,reason
attack_03,1532,000000001532.jpg,000000001532.jpg,yes,car,640x480,640x480,verified,
attack_03,9400,000000009400.jpg,000000009400.jpg,yes,person,640x480,640x480,verified,
attack_03,9769,000000009769.jpg,000000009769.jpg,yes,person,640x480,640x480,verified,
attack_03,9891,000000009891.jpg,000000009891.jpg,yes,car,640x480,640x480,verified,
attack_03,13659,000000013659.jpg,000000013659.jpg,yes,person,640x480,640x480,verified,
attack_03,14226,000000014226.jpg,000000014226.jpg,yes,person,640x480,640x480,verified,
attack_03,17178,000000017178.jpg,000000017178.jpg,yes,car,640x427,640x427,verified,
attack_03,23126,000000023126.jpg,000000023126.jpg,yes,person,640x428,640x428,verified,
attack_03,27696,000000027696.jpg,000000027696.jpg,yes,person,640x410,640x410,verified,
attack_03,27768,000000027768.jpg,000000027768.jpg,yes,car,612x612,612x612,verified,
attack_03,29984,000000029984.jpg,000000029984.jpg,yes,person,640x492,640x492,verified,
attack_03,32570,000000032570.jpg,000000032570.jpg,yes,person,640x427,640x427,verified,
attack_03,32887,000000032887.jpg,000000032887.jpg,yes,person,640x480,640x480,verified,
attack_03,33854,000000033854.jpg,000000033854.jpg,yes,car,640x427,640x427,verified,
attack_03,34139,000000034139.jpg,000000034139.jpg,yes,person,640x480,640x480,verified,
attack_03,39484,000000039484.jpg,000000039484.jpg,yes,car,640x437,640x437,verified,
attack_03,40083,000000040083.jpg,000000040083.jpg,yes,car,500x333,500x333,verified,
attack_03,41633,000000041633.jpg,000000041633.jpg,yes,car,640x429,640x429,verified,
attack_03,43737,000000043737.jpg,000000043737.jpg,yes,car,480x640,480x640,verified,
attack_03,46872,000000046872.jpg,000000046872.jpg,yes,car,640x391,640x391,verified,
attack_03,49259,000000049259.jpg,000000049259.jpg,yes,person,427x640,427x640,verified,
attack_03,49759,000000049759.jpg,000000049759.jpg,yes,person,640x457,640x457,verified,
attack_03,50679,000000050679.jpg,000000050679.jpg,yes,car,640x427,640x427,verified,
attack_03,54593,000000054593.jpg,000000054593.jpg,yes,car,640x427,640x427,verified,
attack_03,54967,000000054967.jpg,000000054967.jpg,yes,car,424x640,424x640,verified,
attack_03,55150,000000055150.jpg,000000055150.jpg,yes,car,640x426,640x426,verified,
attack_03,57672,000000057672.jpg,000000057672.jpg,yes,person,640x480,640x480,verified,
attack_03,59598,000000059598.jpg,000000059598.jpg,yes,person,640x480,640x480,verified,
attack_03,60823,000000060823.jpg,000000060823.jpg,yes,person,640x480,640x480,verified,
attack_03,62353,000000062353.jpg,000000062353.jpg,yes,person,640x480,640x480,verified,
attack_03,64084,000000064084.jpg,000000064084.jpg,yes,person,640x436,640x436,verified,
attack_03,65455,000000065455.jpg,000000065455.jpg,yes,person,500x375,500x375,verified,
attack_03,67406,000000067406.jpg,000000067406.jpg,yes,person,500x375,500x375,verified,
attack_03,68093,000000068093.jpg,000000068093.jpg,yes,car,640x480,640x480,verified,
attack_03,68409,000000068409.jpg,000000068409.jpg,yes,person,640x263,640x263,verified,
attack_03,70739,000000070739.jpg,000000070739.jpg,yes,person,640x480,640x480,verified,
attack_03,71938,000000071938.jpg,000000071938.jpg,yes,person,640x480,640x480,verified,
attack_03,72281,000000072281.jpg,000000072281.jpg,yes,person,427x640,427x640,verified,
attack_03,76417,000000076417.jpg,000000076417.jpg,yes,car,640x478,640x478,verified,
attack_03,85376,000000085376.jpg,000000085376.jpg,yes,car,480x640,480x640,verified,
attack_03,86220,000000086220.jpg,000000086220.jpg,yes,car,640x428,640x428,verified,
attack_03,93154,000000093154.jpg,000000093154.jpg,yes,car,427x640,427x640,verified,
attack_03,94751,000000094751.jpg,000000094751.jpg,yes,car,375x500,375x500,verified,
attack_03,97679,000000097679.jpg,000000097679.jpg,yes,car,640x480,640x480,verified,
attack_03,98392,000000098392.jpg,000000098392.jpg,yes,car,480x640,480x640,verified,
attack_03,102411,000000102411.jpg,000000102411.jpg,yes,car,640x427,640x427,verified,
attack_03,102805,000000102805.jpg,000000102805.jpg,yes,car,640x426,640x426,verified,
attack_03,105264,000000105264.jpg,000000105264.jpg,yes,person,640x427,640x427,verified,
attack_03,107226,000000107226.jpg,000000107226.jpg,yes,person,480x640,480x640,verified,
attack_03,109900,000000109900.jpg,000000109900.jpg,yes,person,640x478,640x478,verified,
attack_03,111036,000000111036.jpg,000000111036.jpg,yes,car,425x640,425x640,verified,
attack_03,113720,000000113720.jpg,000000113720.jpg,yes,person,640x426,640x426,verified,
attack_03,119365,000000119365.jpg,000000119365.jpg,yes,person,480x640,480x640,verified,
attack_03,121242,000000121242.jpg,000000121242.jpg,yes,car,640x429,640x429,verified,
attack_03,121497,000000121497.jpg,000000121497.jpg,yes,person,640x480,640x480,verified,
attack_03,121506,000000121506.jpg,000000121506.jpg,yes,car,612x612,612x612,verified,
attack_03,122166,000000122166.jpg,000000122166.jpg,yes,car,640x480,640x480,verified,
attack_03,124442,000000124442.jpg,000000124442.jpg,yes,person,375x500,375x500,verified,
attack_03,124798,000000124798.jpg,000000124798.jpg,yes,car,640x427,640x427,verified,
attack_03,125778,000000125778.jpg,000000125778.jpg,yes,car,640x480,640x480,verified,
attack_03,127092,000000127092.jpg,000000127092.jpg,yes,car,640x480,640x480,verified,
attack_03,127394,000000127394.jpg,000000127394.jpg,yes,person,409x640,409x640,verified,
attack_03,130386,000000130386.jpg,000000130386.jpg,yes,car,375x500,375x500,verified,
attack_03,133244,000000133244.jpg,000000133244.jpg,yes,person,640x359,640x359,verified,
attack_03,134886,000000134886.jpg,000000134886.jpg,yes,car,640x480,640x480,verified,
attack_03,137246,000000137246.jpg,000000137246.jpg,yes,person,500x333,500x333,verified,
attack_03,138979,000000138979.jpg,000000138979.jpg,yes,car,640x426,640x426,verified,
attack_03,140987,000000140987.jpg,000000140987.jpg,yes,person,425x640,425x640,verified,
attack_03,143068,000000143068.jpg,000000143068.jpg,yes,person,640x213,640x213,verified,
attack_03,144333,000000144333.jpg,000000144333.jpg,yes,car,426x640,426x640,verified,
attack_03,147338,000000147338.jpg,000000147338.jpg,yes,car,480x640,480x640,verified,
attack_03,147740,000000147740.jpg,000000147740.jpg,yes,car,640x480,640x480,verified,
attack_03,151962,000000151962.jpg,000000151962.jpg,yes,person,640x479,640x479,verified,
attack_03,155341,000000155341.jpg,000000155341.jpg,yes,car,640x480,640x480,verified,
attack_03,157767,000000157767.jpg,000000157767.jpg,yes,person,640x427,640x427,verified,
attack_03,157928,000000157928.jpg,000000157928.jpg,yes,car,640x480,640x480,verified,
attack_03,158744,000000158744.jpg,000000158744.jpg,yes,car,640x424,640x424,verified,
attack_03,159791,000000159791.jpg,000000159791.jpg,yes,person,500x375,500x375,verified,
attack_03,160012,000000160012.jpg,000000160012.jpg,yes,car,640x461,640x461,verified,
attack_03,162415,000000162415.jpg,000000162415.jpg,yes,person,536x640,536x640,verified,
attack_03,167122,000000167122.jpg,000000167122.jpg,yes,car,640x480,640x480,verified,
attack_03,169169,000000169169.jpg,000000169169.jpg,yes,car,640x480,640x480,verified,
attack_03,170099,000000170099.jpg,000000170099.jpg,yes,person,640x478,640x478,verified,
attack_03,171788,000000171788.jpg,000000171788.jpg,yes,person,427x640,427x640,verified,
attack_03,173302,000000173302.jpg,000000173302.jpg,yes,person,640x425,640x425,verified,
