image_id,filename,target_class,class_id,gt_bbox_x,gt_bbox_y,gt_bbox_width,gt_bbox_height,detected,confidence,iou,best_same_class_confidence,best_same_class_iou,total_detections
2153,000000002153.jpg,person,1,283.4,274.77,182.91,170.27,Yes,0.898497,0.9724694139760541,0.898497,0.9724694139760541,7
2299,000000002299.jpg,person,1,0,18,499,263,No,0.0,0.0,0.351507,0.053614722282684026,26
2532,000000002532.jpg,person,1,182.96,305.48,101.51,168.46,Yes,0.847774,0.9409960291918025,0.847774,0.9409960291918025,2
4395,000000004395.jpg,person,1,1.44,1.44,423.56,637.12,Yes,0.902732,0.9679003956286522,0.902732,0.9679003956286522,2
5060,000000005060.jpg,person,1,159.19,309.5,165.16,188.9,Yes,0.841124,0.9793375420468841,0.841124,0.9793375420468841,3
6471,000000006471.jpg,person,1,256.84,70.89,97.07,232.95,Yes,0.899064,0.8717296480403848,0.899064,0.8717296480403848,13
9891,000000009891.jpg,car,3,284.76,79.89,355.24,220.05,Yes,0.723297,0.8123634862800098,0.723297,0.8123634862800098,11
15335,000000015335.jpg,person,1,365.92,15.07,274.08,458.47,Yes,0.859791,0.9508282875606912,0.859791,0.9508282875606912,7
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,Yes,0.283718,0.8596497750230144,0.283718,0.8596497750230144,5
15956,000000015956.jpg,person,1,365.66,138.07,80.9,198.47,Yes,0.881979,0.9176251243664365,0.881979,0.9176251243664365,5
17029,000000017029.jpg,car,3,56.09,25.89,513.44,152.45,Yes,0.46231,0.8679071163974804,0.46231,0.8679071163974804,6
17178,000000017178.jpg,car,3,433.73,108.19,206.27,318.81,Yes,0.79733,0.9698684451258696,0.79733,0.9698684451258696,5
17379,000000017379.jpg,person,1,216.04,233.23,47.09,80.0,Yes,0.308322,0.900604223835488,0.308322,0.900604223835488,5
18837,000000018837.jpg,car,3,591.1,254.64,33.4,47.03,Yes,0.612429,0.7098298578207624,0.612429,0.7098298578207624,8
19432,000000019432.jpg,person,1,55.26,26.82,153.86,404.15,Yes,0.922008,0.9779251661529038,0.922008,0.9779251661529038,25
19924,000000019924.jpg,person,1,14.61,29.21,434.83,465.17,Yes,0.9069,0.9065397885247674,0.9069,0.9065397885247674,2
20992,000000020992.jpg,person,1,0.0,0.45,500.0,332.55,Yes,0.869848,0.9745736685900411,0.869848,0.9745736685900411,1
21839,000000021839.jpg,car,3,0.0,456.46,32.44,62.13,Yes,0.468062,0.7579850683997973,0.468062,0.7579850683997973,11
21879,000000021879.jpg,person,1,274.43,78.75,131.46,228.37,Yes,0.927419,0.9668350686644159,0.927419,0.9668350686644159,9
21903,000000021903.jpg,person,1,334.38,224.36,216.81,250.25,Yes,0.94385,0.9255640496000762,0.94385,0.9255640496000762,4
22755,000000022755.jpg,car,3,362.56,228.16,58.21,25.68,Yes,0.456685,0.7784173134332392,0.456685,0.7784173134332392,2
23272,000000023272.jpg,car,3,0.0,0.08,499.46,370.98,Yes,0.37413,0.8230163659157118,0.37413,0.8230163659157118,2
25393,000000025393.jpg,car,3,19.79,198.03,49.92,42.21,Yes,0.737259,0.657053300465481,0.737259,0.657053300465481,7
26204,000000026204.jpg,car,3,163.71,242.28,127.94,89.73,Yes,0.890688,0.944699204251243,0.890688,0.944699204251243,14
26465,000000026465.jpg,person,1,0.0,0.84,131.46,294.95,Yes,0.58074,0.9461865017467903,0.58074,0.9461865017467903,5
26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,Yes,0.252646,0.7606389546161549,0.252646,0.7606389546161549,3
27768,000000027768.jpg,car,3,573.62,373.75,38.2,81.33,Yes,0.63049,0.9034734366612988,0.63049,0.9034734366612988,6
31093,000000031093.jpg,person,1,217.29,77.29,232.54,251.59,Yes,0.945397,0.942979111933976,0.945397,0.942979111933976,3
32334,000000032334.jpg,car,3,587.24,129.64,50.28,38.29,No,0.0,0.0,0.0,0.0,13
34452,000000034452.jpg,person,1,318.2,178.73,87.37,135.91,Yes,0.906279,0.9073213837975371,0.906279,0.9073213837975371,3
36539,000000036539.jpg,person,1,167.89,292.66,96.15,239.64,Yes,0.900849,0.8584847643802224,0.900849,0.8584847643802224,4
37670,000000037670.jpg,person,1,436.85,23.73,203.15,161.8,No,0.0,0.0,0.723039,0.3432031527010242,2
37988,000000037988.jpg,person,1,305.95,142.7,100.54,309.19,Yes,0.892939,0.9348384772212066,0.892939,0.9348384772212066,5
39484,000000039484.jpg,car,3,36.82,365.51,229.28,71.49,Yes,0.904786,0.9712302585099727,0.904786,0.9712302585099727,20
41633,000000041633.jpg,car,3,561.27,326.88,66.43,44.13,Yes,0.581611,0.7879915479303589,0.581611,0.7879915479303589,3
42102,000000042102.jpg,person,1,20.13,6.66,220.17,621.83,Yes,0.90456,0.9550982499189316,0.90456,0.9550982499189316,3
43435,000000043435.jpg,person,1,183.18,428.68,35.86,44.38,Yes,0.780827,0.8245014523572433,0.780827,0.8245014523572433,4
43737,000000043737.jpg,car,3,111.23,416.09,81.12,38.0,Yes,0.352254,0.8053425705343887,0.352254,0.8053425705343887,5
44590,000000044590.jpg,car,3,573.02,78.14,66.98,56.15,No,0.0,0.0,0.0,0.0,26
45070,000000045070.jpg,person,1,109.58,40.02,326.06,446.33,Yes,0.832109,0.9274619406959245,0.832109,0.9274619406959245,2
45596,000000045596.jpg,person,1,59.05,397.73,22.88,39.71,Yes,0.583882,0.9545305996534076,0.583882,0.9545305996534076,7
46497,000000046497.jpg,person,1,133.1,54.59,198.9,272.92,Yes,0.613133,0.9237343825488918,0.613133,0.9237343825488918,7
48564,000000048564.jpg,person,1,4.31,1.0,419.96,629.93,Yes,0.872424,0.9710316105372536,0.872424,0.9710316105372536,2
