image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,random_seed
2153,000000002153.jpg,person,1,283.4,274.77,182.91,170.27,640,480,2069153322
2299,000000002299.jpg,person,1,0,18,499,263,500,302,2069153322
2532,000000002532.jpg,person,1,182.96,305.48,101.51,168.46,480,640,2069153322
4395,000000004395.jpg,person,1,1.44,1.44,423.56,637.12,425,640,2069153322
5060,000000005060.jpg,person,1,159.19,309.5,165.16,188.9,480,640,2069153322
6471,000000006471.jpg,person,1,256.84,70.89,97.07,232.95,500,333,2069153322
9891,000000009891.jpg,car,3,284.76,79.89,355.24,220.05,640,480,2069153322
15335,000000015335.jpg,person,1,365.92,15.07,274.08,458.47,640,480,2069153322
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,640,424,2069153322
15956,000000015956.jpg,person,1,365.66,138.07,80.9,198.47,640,480,2069153322
17029,000000017029.jpg,car,3,56.09,25.89,513.44,152.45,640,640,2069153322
17178,000000017178.jpg,car,3,433.73,108.19,206.27,318.81,640,427,2069153322
17379,000000017379.jpg,person,1,216.04,233.23,47.09,80.0,478,640,2069153322
18837,000000018837.jpg,car,3,591.1,254.64,33.4,47.03,640,480,2069153322
19432,000000019432.jpg,person,1,55.26,26.82,153.86,404.15,640,480,2069153322
19924,000000019924.jpg,person,1,14.61,29.21,434.83,465.17,458,500,2069153322
20992,000000020992.jpg,person,1,0.0,0.45,500.0,332.55,500,333,2069153322
21839,000000021839.jpg,car,3,0.0,456.46,32.44,62.13,480,640,2069153322
21879,000000021879.jpg,person,1,274.43,78.75,131.46,228.37,640,427,2069153322
21903,000000021903.jpg,person,1,334.38,224.36,216.81,250.25,640,480,2069153322
22755,000000022755.jpg,car,3,362.56,228.16,58.21,25.68,640,479,2069153322
23272,000000023272.jpg,car,3,0.0,0.08,499.46,370.98,500,375,2069153322
25393,000000025393.jpg,car,3,19.79,198.03,49.92,42.21,640,480,2069153322
26204,000000026204.jpg,car,3,163.71,242.28,127.94,89.73,640,427,2069153322
26465,000000026465.jpg,person,1,0.0,0.84,131.46,294.95,500,375,2069153322
26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,423,640,2069153322
27768,000000027768.jpg,car,3,573.62,373.75,38.2,81.33,612,612,2069153322
31093,000000031093.jpg,person,1,217.29,77.29,232.54,251.59,640,426,2069153322
32334,000000032334.jpg,car,3,587.24,129.64,50.28,38.29,640,480,2069153322
34452,000000034452.jpg,person,1,318.2,178.73,87.37,135.91,640,480,2069153322
36539,000000036539.jpg,person,1,167.89,292.66,96.15,239.64,427,640,2069153322
37670,000000037670.jpg,person,1,436.85,23.73,203.15,161.8,640,480,2069153322
37988,000000037988.jpg,person,1,305.95,142.7,100.54,309.19,640,480,2069153322
39484,000000039484.jpg,car,3,36.82,365.51,229.28,71.49,640,437,2069153322
41633,000000041633.jpg,car,3,561.27,326.88,66.43,44.13,640,429,2069153322
42102,000000042102.jpg,person,1,20.13,6.66,220.17,621.83,246,640,2069153322
43435,000000043435.jpg,person,1,183.18,428.68,35.86,44.38,638,640,2069153322
43737,000000043737.jpg,car,3,111.23,416.09,81.12,38.0,480,640,2069153322
44590,000000044590.jpg,car,3,573.02,78.14,66.98,56.15,640,246,2069153322
45070,000000045070.jpg,person,1,109.58,40.02,326.06,446.33,640,596,2069153322
45596,000000045596.jpg,person,1,59.05,397.73,22.88,39.71,408,640,2069153322
46497,000000046497.jpg,person,1,133.1,54.59,198.9,272.92,500,332,2069153322
48564,000000048564.jpg,person,1,4.31,1.0,419.96,629.93,427,640,2069153322
51314,000000051314.jpg,person,1,227.6,37.75,217.88,305.26,640,480,2069153322
52412,000000052412.jpg,car,3,1,193,638,232,640,426,2069153322
54593,000000054593.jpg,car,3,110.86,75.03,199.27,108.0,640,427,2069153322
54967,000000054967.jpg,car,3,0,421,192,52,424,640,2069153322
55150,000000055150.jpg,car,3,435.57,0.8,204.43,392.49,640,426,2069153322
66038,000000066038.jpg,person,1,269.23,244.32,60.03,102.57,640,480,2069153322
66231,000000066231.jpg,person,1,333.71,137.52,111.56,288.52,640,427,2069153322
66771,000000066771.jpg,person,1,2.06,0.0,347.88,420.13,640,480,2069153322
67213,000000067213.jpg,car,3,0.81,305.17,197.12,107.1,640,485,2069153322
67616,000000067616.jpg,car,3,391.31,339.93,145.9,104.56,640,480,2069153322
73153,000000073153.jpg,person,1,206.59,12.64,190.7,621.22,427,640,2069153322
73946,000000073946.jpg,person,1,360.36,68.75,279.64,353.71,640,428,2069153322
74058,000000074058.jpg,car,3,583.67,207.03,56.33,141.18,640,427,2069153322
76417,000000076417.jpg,car,3,190.17,153.23,449.83,316.61,640,478,2069153322
77460,000000077460.jpg,person,1,0,532,427,70,428,640,2069153322
78748,000000078748.jpg,person,1,0,19,639,190,640,480,2069153322
82812,000000082812.jpg,person,1,347.0,228.07,74.45,131.93,640,360,2069153322
84170,000000084170.jpg,car,3,132.29,261.12,97.96,76.02,640,480,2069153322
84270,000000084270.jpg,person,1,1,4,602,378,640,480,2069153322
85157,000000085157.jpg,person,1,0.0,98.38,258.38,381.62,640,480,2069153322
86220,000000086220.jpg,car,3,134.24,209.08,311.21,126.52,640,428,2069153322
87144,000000087144.jpg,car,3,349.79,32.05,83.45,29.83,640,480,2069153322
88462,000000088462.jpg,car,3,24.78,187.76,57.47,42.36,640,383,2069153322
93154,000000093154.jpg,car,3,143.08,273.81,67.57,35.32,427,640,2069153322
98392,000000098392.jpg,car,3,244.19,516.38,235.81,123.62,480,640,2069153322
100624,000000100624.jpg,car,3,0.0,252.4,54.69,163.64,640,427,2069153322
102356,000000102356.jpg,person,1,166.17,52.61,237.43,359.78,427,640,2069153322
108026,000000108026.jpg,person,1,111.32,0.0,528.68,423.2,640,428,2069153322
111036,000000111036.jpg,car,3,251.48,3.01,173.18,138.54,425,640,2069153322
114770,000000114770.jpg,car,3,148.2,139.39,385.67,195.0,640,403,2069153322
115946,000000115946.jpg,car,3,119.19,502.52,53.52,42.14,480,640,2069153322
121506,000000121506.jpg,car,3,407.68,259.56,120.34,42.62,612,612,2069153322
121591,000000121591.jpg,person,1,256.28,122.25,122.25,163.1,500,400,2069153322
125129,000000125129.jpg,person,1,136.65,54.29,202.12,210.86,500,333,2069153322
125936,000000125936.jpg,person,1,0.0,97.73,145.5,224.86,500,327,2069153322
126592,000000126592.jpg,car,3,316.91,269.85,192.28,57.59,640,433,2069153322
127263,000000127263.jpg,car,3,501.43,106.88,138.57,67.52,640,427,2069153322
129062,000000129062.jpg,person,1,532.85,343.01,92.77,131.6,640,480,2069153322
130386,000000130386.jpg,car,3,171.7,436.86,54.67,31.55,375,500,2069153322
132544,000000132544.jpg,car,3,0.96,110.05,306.37,207.76,640,427,2069153322
132796,000000132796.jpg,person,1,290.82,68.16,112.46,331.71,640,426,2069153322
134322,000000134322.jpg,person,1,1,275,632,132,640,480,2069153322
