attack_id,image_id,clean_filename,patched_filename,pair_verified,target_class,status
attack_05,2153,000000002153.jpg,000000002153.jpg,yes,person,verified
attack_05,2299,000000002299.jpg,000000002299.jpg,yes,person,verified
attack_05,2532,000000002532.jpg,000000002532.jpg,yes,person,verified
attack_05,4395,000000004395.jpg,000000004395.jpg,yes,person,verified
attack_05,5060,000000005060.jpg,000000005060.jpg,yes,person,verified
attack_05,6471,000000006471.jpg,000000006471.jpg,yes,person,verified
attack_05,9891,000000009891.jpg,000000009891.jpg,yes,car,verified
attack_05,15335,000000015335.jpg,000000015335.jpg,yes,person,verified
attack_05,15338,000000015338.jpg,000000015338.jpg,yes,car,verified
attack_05,15956,000000015956.jpg,000000015956.jpg,yes,person,verified
attack_05,17029,000000017029.jpg,000000017029.jpg,yes,car,verified
attack_05,17178,000000017178.jpg,000000017178.jpg,yes,car,verified
attack_05,17379,000000017379.jpg,000000017379.jpg,yes,person,verified
attack_05,18837,000000018837.jpg,000000018837.jpg,yes,car,verified
attack_05,19432,000000019432.jpg,000000019432.jpg,yes,person,verified
attack_05,19924,000000019924.jpg,000000019924.jpg,yes,person,verified
attack_05,20992,000000020992.jpg,000000020992.jpg,yes,person,verified
attack_05,21839,000000021839.jpg,000000021839.jpg,yes,car,verified
attack_05,21879,000000021879.jpg,000000021879.jpg,yes,person,verified
attack_05,21903,000000021903.jpg,000000021903.jpg,yes,person,verified
attack_05,22755,000000022755.jpg,000000022755.jpg,yes,car,verified
attack_05,23272,000000023272.jpg,000000023272.jpg,yes,car,verified
attack_05,25393,000000025393.jpg,000000025393.jpg,yes,car,verified
attack_05,26204,000000026204.jpg,000000026204.jpg,yes,car,verified
attack_05,26465,000000026465.jpg,000000026465.jpg,yes,person,verified
attack_05,26926,000000026926.jpg,000000026926.jpg,yes,car,verified
attack_05,27768,000000027768.jpg,000000027768.jpg,yes,car,verified
attack_05,31093,000000031093.jpg,000000031093.jpg,yes,person,verified
attack_05,32334,000000032334.jpg,000000032334.jpg,yes,car,verified
attack_05,34452,000000034452.jpg,000000034452.jpg,yes,person,verified
attack_05,36539,000000036539.jpg,000000036539.jpg,yes,person,verified
attack_05,37670,000000037670.jpg,000000037670.jpg,yes,person,verified
attack_05,37988,000000037988.jpg,000000037988.jpg,yes,person,verified
attack_05,39484,000000039484.jpg,000000039484.jpg,yes,car,verified
attack_05,41633,000000041633.jpg,000000041633.jpg,yes,car,verified
attack_05,42102,000000042102.jpg,000000042102.jpg,yes,person,verified
attack_05,43435,000000043435.jpg,000000043435.jpg,yes,person,verified
attack_05,43737,000000043737.jpg,000000043737.jpg,yes,car,verified
attack_05,44590,000000044590.jpg,000000044590.jpg,yes,car,verified
attack_05,45070,000000045070.jpg,000000045070.jpg,yes,person,verified
attack_05,45596,000000045596.jpg,000000045596.jpg,yes,person,verified
attack_05,46497,000000046497.jpg,000000046497.jpg,yes,person,verified
attack_05,48564,000000048564.jpg,000000048564.jpg,yes,person,verified
attack_05,51314,000000051314.jpg,000000051314.jpg,yes,person,verified
attack_05,52412,000000052412.jpg,000000052412.jpg,yes,car,verified
attack_05,54593,000000054593.jpg,000000054593.jpg,yes,car,verified
attack_05,54967,000000054967.jpg,000000054967.jpg,yes,car,verified
attack_05,55150,000000055150.jpg,000000055150.jpg,yes,car,verified
attack_05,66038,000000066038.jpg,000000066038.jpg,yes,person,verified
attack_05,66231,000000066231.jpg,000000066231.jpg,yes,person,verified
attack_05,66771,000000066771.jpg,000000066771.jpg,yes,person,verified
attack_05,67213,000000067213.jpg,000000067213.jpg,yes,car,verified
attack_05,67616,000000067616.jpg,000000067616.jpg,yes,car,verified
attack_05,73153,000000073153.jpg,000000073153.jpg,yes,person,verified
attack_05,73946,000000073946.jpg,000000073946.jpg,yes,person,verified
attack_05,74058,000000074058.jpg,000000074058.jpg,yes,car,verified
attack_05,76417,000000076417.jpg,000000076417.jpg,yes,car,verified
attack_05,77460,000000077460.jpg,000000077460.jpg,yes,person,verified
attack_05,78748,000000078748.jpg,000000078748.jpg,yes,person,verified
attack_05,82812,000000082812.jpg,000000082812.jpg,yes,person,verified
attack_05,84170,000000084170.jpg,000000084170.jpg,yes,car,verified
attack_05,84270,000000084270.jpg,000000084270.jpg,yes,person,verified
attack_05,85157,000000085157.jpg,000000085157.jpg,yes,person,verified
attack_05,86220,000000086220.jpg,000000086220.jpg,yes,car,verified
attack_05,87144,000000087144.jpg,000000087144.jpg,yes,car,verified
attack_05,88462,000000088462.jpg,000000088462.jpg,yes,car,verified
attack_05,93154,000000093154.jpg,000000093154.jpg,yes,car,verified
attack_05,98392,000000098392.jpg,000000098392.jpg,yes,car,verified
attack_05,100624,000000100624.jpg,000000100624.jpg,yes,car,verified
attack_05,102356,000000102356.jpg,000000102356.jpg,yes,person,verified
attack_05,108026,000000108026.jpg,000000108026.jpg,yes,person,verified
attack_05,111036,000000111036.jpg,000000111036.jpg,yes,car,verified
attack_05,114770,000000114770.jpg,000000114770.jpg,yes,car,verified
attack_05,115946,000000115946.jpg,000000115946.jpg,yes,car,verified
attack_05,121506,000000121506.jpg,000000121506.jpg,yes,car,verified
attack_05,121591,000000121591.jpg,000000121591.jpg,yes,person,verified
attack_05,125129,000000125129.jpg,000000125129.jpg,yes,person,verified
attack_05,125936,000000125936.jpg,000000125936.jpg,yes,person,verified
attack_05,126592,000000126592.jpg,000000126592.jpg,yes,car,verified
attack_05,127263,000000127263.jpg,000000127263.jpg,yes,car,verified
attack_05,129062,000000129062.jpg,000000129062.jpg,yes,person,verified
attack_05,130386,000000130386.jpg,000000130386.jpg,yes,car,verified
attack_05,132544,000000132544.jpg,000000132544.jpg,yes,car,verified
attack_05,132796,000000132796.jpg,000000132796.jpg,yes,person,verified
attack_05,134322,000000134322.jpg,000000134322.jpg,yes,person,verified
attack_05,135410,000000135410.jpg,000000135410.jpg,yes,car,verified
attack_05,136715,000000136715.jpg,000000136715.jpg,yes,car,verified
attack_05,138979,000000138979.jpg,000000138979.jpg,yes,car,verified
attack_05,141597,000000141597.jpg,000000141597.jpg,yes,car,verified
attack_05,142472,000000142472.jpg,000000142472.jpg,yes,car,verified
attack_05,144114,000000144114.jpg,000000144114.jpg,yes,person,verified
attack_05,144706,000000144706.jpg,000000144706.jpg,yes,car,verified
attack_05,146155,000000146155.jpg,000000146155.jpg,yes,person,verified
attack_05,147223,000000147223.jpg,000000147223.jpg,yes,car,verified
attack_05,147338,000000147338.jpg,000000147338.jpg,yes,car,verified
attack_05,147725,000000147725.jpg,000000147725.jpg,yes,car,verified
attack_05,148719,000000148719.jpg,000000148719.jpg,yes,person,verified
attack_05,149375,000000149375.jpg,000000149375.jpg,yes,person,verified
attack_05,151000,000000151000.jpg,000000151000.jpg,yes,person,verified
attack_05,152214,000000152214.jpg,000000152214.jpg,yes,person,verified
attack_05,152771,000000152771.jpg,000000152771.jpg,yes,car,verified
attack_05,153011,000000153011.jpg,000000153011.jpg,yes,car,verified
attack_05,153669,000000153669.jpg,000000153669.jpg,yes,person,verified
attack_05,155341,000000155341.jpg,000000155341.jpg,yes,car,verified
attack_05,156071,000000156071.jpg,000000156071.jpg,yes,car,verified
attack_05,156292,000000156292.jpg,000000156292.jpg,yes,person,verified
attack_05,157365,000000157365.jpg,000000157365.jpg,yes,car,verified
attack_05,157928,000000157928.jpg,000000157928.jpg,yes,car,verified
attack_05,158660,000000158660.jpg,000000158660.jpg,yes,person,verified
attack_05,158744,000000158744.jpg,000000158744.jpg,yes,car,verified
attack_05,158945,000000158945.jpg,000000158945.jpg,yes,person,verified
attack_05,161799,000000161799.jpg,000000161799.jpg,yes,person,verified
attack_05,162092,000000162092.jpg,000000162092.jpg,yes,person,verified
attack_05,162732,000000162732.jpg,000000162732.jpg,yes,person,verified
attack_05,163117,000000163117.jpg,000000163117.jpg,yes,person,verified
attack_05,163562,000000163562.jpg,000000163562.jpg,yes,person,verified
attack_05,165518,000000165518.jpg,000000165518.jpg,yes,person,verified
attack_05,166478,000000166478.jpg,000000166478.jpg,yes,person,verified
attack_05,167122,000000167122.jpg,000000167122.jpg,yes,car,verified
attack_05,169169,000000169169.jpg,000000169169.jpg,yes,car,verified
attack_05,171382,000000171382.jpg,000000171382.jpg,yes,car,verified
attack_05,171757,000000171757.jpg,000000171757.jpg,yes,person,verified
attack_05,172330,000000172330.jpg,000000172330.jpg,yes,car,verified
attack_05,173830,000000173830.jpg,000000173830.jpg,yes,person,verified
attack_05,174482,000000174482.jpg,000000174482.jpg,yes,car,verified
attack_05,175438,000000175438.jpg,000000175438.jpg,yes,car,verified
attack_05,176606,000000176606.jpg,000000176606.jpg,yes,car,verified
attack_05,176799,000000176799.jpg,000000176799.jpg,yes,person,verified
